"","author","year","region","species","family","genus","environment","climate","red.list","feeding.type","feeding.habit","TL","min.size","float.meth","dig.meth","count.meth","polymer.meth","polymer.ID","blanks","maj.fib","maj.under.one.mm","maj.polymer","maj.col","exclude.fib","fork.lengthprod","total.lengthprod","Wprod","GWprod","N","IRprod","Mpsgutprod","SDMPsgutprod","fork.length","total.length","W","GW","IR","Mpsgut","SDMPsgut","study"
"370","Peters et al.","2017","Atlantic, Western Central","Lagodon rhomboids ","Sparidae","Lagodon","Demersal","Subtropical","Least Concern","mainly animals","hunting macrofauna",4.4,500,"None","None","Visual","None","no","yes","yes","","","Purple/Blue","no",NA,6465.6,25727.7,538.8,449,208.785,431.04,NA,NA,14.4,57.3,1.2,0.465,0.96,NA,"Peters et al.2017"
"371","Peters et al.","2017","Atlantic, Western Central","Menticirrhus americanus ","Sciaenidae","Menticirrhus","Demersal","Subtropical","Least Concern","mainly animals","hunting macrofauna",3.5,500,"None","None","Visual","None","no","yes","yes","","","Purple/Blue","no",NA,2970,14490,315,150,52.95,85.5,NA,NA,19.8,96.6,2.1,0.353,0.57,NA,"Peters et al.2017"
"372","Peters et al.","2017","Atlantic, Western Central","Micropogonias undulatus","Sciaenidae","Micropogonias","Demersal","Subtropical","Least Concern","mainly animals","hunting macrofauna",4,500,"None","None","Visual","None","no","yes","yes","","","Purple/Blue","no",NA,6779.1,29069.7,497.9,383,173.116,333.21,NA,NA,17.7,75.9,1.3,0.452,0.87,NA,"Peters et al.2017"
"373","Peters et al.","2017","Atlantic, Western Central","Orthopristis chrysoptera","Haemulidae","Orthopristis","Demersal","Temperate","Least Concern","mainly animals","hunting macrofauna",3.4,500,"None","None","Visual","None","no","yes","yes","","","Purple/Blue","no",NA,2684.7,12073.3,172.7,157,42.076,84.78,NA,NA,17.1,76.9,1.1,0.268,0.54,NA,"Peters et al.2017"
"374","Piccardo et al.","2018","Mediterranean and Black Sea","Mullus barbatus barbatus","Mullidae","Mullus","Demersal","Subtropical","Least Concern","mainly animals","hunting macrofauna",3.1,0.2,"NaCl","H2O2","Visual","None","no","yes","no","yes","","","no",NA,201.6,NA,862.8,12,11.04,175.2,55.32,NA,16.8,NA,71.9,0.92,14.6,4.61,"Piccardo et al.2018"
"375","Pozo et al.","2019","Pacific, Southeast","Aplodactylus punctatus","Aplodactylidae","Aplodactylus","Demersal","Tropical","Not Evaluated","plants/detritus","grazing on aquatic plants",2,20,"NaCl","Proteinase K","Visual","FTIR","yes","yes","yes","yes","Polyethylene","Red","no",NA,377,NA,NA,10,2,NA,NA,NA,37.7,NA,NA,0.2,NA,NA,"Pozo et al.2019"
"376","Pozo et al.","2019","Pacific, Southeast","Basilichthys austalis","Atherinopsidae ","Basilichthys","Pelagic","Temperate","Lower Risk: near threatened","","",2.9,20,"NaCl","Proteinase K","Visual","FTIR","yes","yes","yes","yes","Polyethylene","Red","no",NA,248,NA,NA,10,10,NA,NA,NA,24.8,NA,NA,1,NA,NA,"Pozo et al.2019"
"377","Pozo et al.","2019","Pacific, Southeast","Eleginops maclovinus","Eleginopsidae","Eleginops","Benthopelagic","Temperate","Not Evaluated","","",3.5,20,"NaCl","Proteinase K","Visual","FTIR","yes","yes","yes","yes","Polyethylene","Red","no",NA,347,NA,NA,10,3,NA,NA,NA,34.7,NA,NA,0.3,NA,NA,"Pozo et al.2019"
"378","Pozo et al.","2019","Pacific, Southeast","Merluccius gayi gayi","Merlucciidae","Merluccius","Bathydemersal","Deep-water","Data deficient","mainly animals","hunting macrofauna",4.3,20,"NaCl","Proteinase K","Visual","FTIR","yes","yes","yes","yes","Polyethylene","Red","no",NA,619,NA,NA,10,1,NA,NA,NA,61.9,NA,NA,0.1,NA,NA,"Pozo et al.2019"
"379","Pozo et al.","2019","Pacific, Southeast","Strangomera bentincki","Clupeidae","Strangomera","Pelagic-neritic","Subtropical","Least Concern","plants/detritus","selective plankton feeding",2.7,20,"NaCl","Proteinase K","Visual","FTIR","yes","yes","yes","yes","Polyethylene","Red","no",NA,131,NA,NA,10,3,NA,NA,NA,13.1,NA,NA,0.3,NA,NA,"Pozo et al.2019"
"380","Pozo et al.","2019","Pacific, Southeast","Trachurus murphyi","Carangidae","Trachurus","Pelagic-oceanic","Subtropical","Data deficient","mainly animals","hunting macrofauna",3.3,20,"NaCl","Proteinase K","Visual","FTIR","yes","yes","yes","yes","Polyethylene","Red","no",NA,459,NA,NA,10,1,NA,NA,NA,45.9,NA,NA,0.1,NA,NA,"Pozo et al.2019"
"381","Ramos et al.","2012","Atlantic, Southwest","Diapterus rhombeus","Gerreidae","Diapterus","Demersal","Tropical","Least Concern","mainly animals","hunting macrofauna",3,500,"None","None","Visual","None","no","no","no","no","Nylon","Blue","no",NA,NA,NA,NA,44,5.016,7.9,4.44,NA,NA,NA,NA,0.114,0.179545454545455,0.100909090909091,"Ramos et al.2012"
"382","Ramos et al.","2012","Atlantic, Southwest","Eucinostomus melanopterus","Gerreidae","Eucinostomus","Demersal","Subtropical","Least Concern","mainly animals","variable",3.4,500,"None","None","Visual","None","no","no","no","no","Nylon","Blue","no",NA,NA,NA,208.2,13,1.196,1.76,1.01,NA,NA,NA,16.0153846153846,0.092,0.135384615384615,0.0776923076923077,"Ramos et al.2012"
"383","Ramos et al.","2012","Atlantic, Southwest","Eugerres brasilianus","Gerreidae ","Eugerres","Demersal","Tropical","Least Concern","mainly animals","hunting macrofauna",3.4,500,"None","None","Visual","None","no","no","no","no","Nylon","Blue","no",NA,NA,NA,396.81,39,6.357,12.06,2.61,NA,NA,NA,10.1746153846154,0.163,0.309230769230769,0.0669230769230769,"Ramos et al.2012"
"384","Renzi et al.","2018","Mediterranean and Black Sea","Engraulis encrasicolus","Engraulidae","Engraulis","Pelagic-neritic","Subtropical","Least Concern","mainly animals","selective plankton feeding",3.1,100,"None","H2O2","Visual","FTIR","yes","yes","yes","","Polyvinyl chloride","Black","no",NA,1096,1341.5,NA,80,NA,530,368,NA,13.7,16.76875,NA,NA,6.625,4.6,"Renzi et al.2018"
"385","Renzi et al.","2018","Mediterranean and Black Sea","Sardina pilchardus","Clupeidae","Sardina","Pelagic-neritic","Subtropical","Least Concern","mainly animals","selective plankton feeding",3.1,100,"None","H2O2","Visual","FTIR","yes","yes","yes","","Polypropylene","Black","no",NA,283,413.5,NA,20,NA,220,142,NA,14.15,20.675,NA,NA,11,7.1,"Renzi et al.2018"
"386","Renzi et al.","2018","Mediterranean and Black Sea","Sardina pilchardus","Clupeidae","Sardina","Pelagic-neritic","Subtropical","Least Concern","mainly animals","selective plankton feeding",3.1,100,"None","H2O2","Visual","FTIR","yes","yes","no","yes","Polypropylene","Black","no",NA,712.5,992,NA,50,NA,720,612,NA,14.25,19.84,NA,NA,14.4,12.24,"Renzi et al.2018"
"387","Renzi et al.","2018","Mediterranean and Black Sea","Sardina pilchardus","Clupeidae","Sardina","Pelagic-neritic","Subtropical","Least Concern","mainly animals","selective plankton feeding",3.1,100,"None","H2O2","Visual","FTIR","yes","yes","no","","Polypropylene","Black","no",NA,143,212,NA,10,NA,160,138,NA,14.3,21.2,NA,NA,16,13.8,"Renzi et al.2018"
"388","Rochman et al.","2015","Pacific, Eastern Central","Atherinopsis californiensis","Atherinopsidae ","Atherinopsis","Pelagic-neritic","Subtropical","Least Concern","plants/detritus+animals","variable",2.3,500,"None","KOH","Visual","None","no","yes","yes","no","","","no",NA,NA,NA,NA,7,2.03,11.2,25.9,NA,NA,NA,NA,0.29,1.6,3.7,"Rochman et al.2015"
"389","Rochman et al.","2015","Pacific, Eastern Central","Citharichthys sordidus","Paralichthyidae ","Citharichthys","Demersal","Temperate","Not Evaluated","mainly animals","hunting macrofauna",3.5,500,"None","KOH","Visual","None","no","yes","yes","no","","","no",NA,NA,NA,NA,5,3,5,6,NA,NA,NA,NA,0.6,1,1.2,"Rochman et al.2015"
"390","Rochman et al.","2015","Pacific, Western Central","Decapterus macrosoma","Carangidae ","Decapterus","Reef-associated","Tropical","Least Concern","mainly animals","selective plankton feeding",3.4,500,"None","KOH","Visual","None","no","yes","no","no","","","no",NA,NA,NA,NA,17,4.93,42.5,107.1,NA,NA,NA,NA,0.29,2.5,6.3,"Rochman et al.2015"
"391","Rochman et al.","2015","Pacific, Eastern Central","Engraulis mordax","Engraulidae","Engraulis ","Pelagic-neritic","Subtropical","Least Concern","mainly animals","selective plankton feeding",3.1,500,"None","KOH","Visual","None","no","yes","yes","no","","","no",NA,NA,NA,NA,10,3,3,5,NA,NA,NA,NA,0.3,0.3,0.5,"Rochman et al.2015"
"392","Rochman et al.","2015","Pacific, Western Central","Katsuwonus pelamis","Scombridae","Katsuwonus","Pelagic-oceanic","Tropical","Least Concern","mainly animals","hunting macrofauna",4.4,500,"None","KOH","Visual","None","no","yes","no","no","","","no",NA,NA,NA,NA,9,0,0,0,NA,NA,NA,NA,0,0,0,"Rochman et al.2015"
"393","Rochman et al.","2015","Pacific, Western Central","Lutjanus gibbus","Lutjanidae","Lutjanus","Reef-associated","Tropical","Least Concern","mainly animals","hunting macrofauna",4.1,500,"None","KOH","Visual","None","no","yes","no","no","","","no",NA,NA,NA,NA,5,0,0,0,NA,NA,NA,NA,0,0,0,"Rochman et al.2015"
"394","Rochman et al.","2015","Pacific, Eastern Central","Morone saxatilis","Moronidae ","Morone ","Demersal","Temperate","Least Concern","mainly animals","hunting macrofauna",4.7,500,"None","KOH","Visual","None","no","yes","yes","no","","","no",NA,NA,NA,NA,7,2.03,6.3,8.4,NA,NA,NA,NA,0.29,0.9,1.2,"Rochman et al.2015"
"395","Rochman et al.","2015","Pacific, Eastern Central","Oncorhynchus tshawytscha","Salmonidae ","Oncorhynchus","Benthopelagic","Temperate","Not Evaluated","mainly animals","hunting macrofauna",4.4,500,"None","KOH","Visual","None","no","yes","yes","no","","","no",NA,NA,NA,NA,4,1,1,2,NA,NA,NA,NA,0.25,0.25,0.5,"Rochman et al.2015"
"396","Rochman et al.","2015","Pacific, Eastern Central","Ophiodon elongatus","Hexagrammidae","Ophiodon","Demersal","Temperate","Not Evaluated","mainly animals","hunting macrofauna",4.5,500,"None","KOH","Visual","None","no","yes","yes","no","","","no",NA,NA,NA,NA,11,0.99,1.1,3.3,NA,NA,NA,NA,0.09,0.1,0.3,"Rochman et al.2015"
"397","Rochman et al.","2015","Pacific, Western Central","Oreochromis niloticus","Cichlidae","Oreochromis","Benthopelagic","Tropical","Not Evaluated","mainly plants/detritus","browsing on substrate",2,500,"None","KOH","Visual","None","no","yes","no","no","","","no",NA,NA,NA,NA,5,0,0,0,NA,NA,NA,NA,0,0,0,"Rochman et al.2015"
"398","Rochman et al.","2015","Pacific, Western Central","Rastrelliger kanagurta","Scombridae","Rastrelliger","Pelagic-neritic","Tropical","Data deficient","mainly animals","hunting macrofauna",3.2,500,"None","KOH","Visual","None","no","yes","no","no","","","no",NA,NA,NA,NA,9,5.04,9,9.9,NA,NA,NA,NA,0.56,1,1.1,"Rochman et al.2015"
"399","Rochman et al.","2015","Pacific, Eastern Central","Scomber japonicus","Scombridae","Scomber","Pelagic-neritic","Subtropical","Least Concern","mainly animals","hunting macrofauna",3.4,500,"None","KOH","Visual","None","no","yes","yes","no","","","no",NA,NA,NA,NA,1,0,0,0,NA,NA,NA,NA,0,0,0,"Rochman et al.2015"
"400","Rochman et al.","2015","Pacific, Eastern Central","Sebastes caurinus","Sebastidae","Sebastes","Demersal","Subtropical","Not Evaluated","mainly animals","hunting macrofauna",4.1,500,"None","KOH","Visual","None","no","yes","yes","no","","","no",NA,NA,NA,NA,1,0,0,0,NA,NA,NA,NA,0,0,0,"Rochman et al.2015"
"401","Rochman et al.","2015","Pacific, Eastern Central","Sebastes flavidus","Sebastidae","Sebastes","Reef-associated","Temperate","Not Evaluated","mainly animals","hunting macrofauna",4.2,500,"None","KOH","Visual","None","no","yes","yes","no","","","no",NA,NA,NA,NA,3,0.99,0.9,1.8,NA,NA,NA,NA,0.33,0.3,0.6,"Rochman et al.2015"
"402","Rochman et al.","2015","Pacific, Eastern Central","Sebastes miniatus","Sebastidae","Sebastes","Reef-associated","Subtropical","Not Evaluated","","",3.9,500,"None","KOH","Visual","None","no","yes","yes","no","","","no",NA,NA,NA,NA,3,0,0,0,NA,NA,NA,NA,0,0,0,"Rochman et al.2015"
"403","Rochman et al.","2015","Pacific, Eastern Central","Sebastes mystinus","Sebastidae","Sebastes","Reef-associated","Subtropical","Not Evaluated","mainly animals","variable",2.7,500,"None","KOH","Visual","None","no","yes","yes","no","","","no",NA,NA,NA,NA,10,2,2,4,NA,NA,NA,NA,0.2,0.2,0.4,"Rochman et al.2015"
"404","Rochman et al.","2015","Pacific, Western Central","Selar boops","Carangidae","Selar","Reef-associated","Subtropical","Least Concern","mainly animals","variable",3.5,500,"None","KOH","Visual","None","no","yes","no","no","","","no",NA,NA,NA,NA,7,0,0,0,NA,NA,NA,NA,0,0,0,"Rochman et al.2015"
"405","Rochman et al.","2015","Pacific, Western Central","Siganus argenteus","Siganidae ","Siganus","Reef-associated","Tropical","Least Concern","mainly plants/detritus","grazing on aquatic plants",2,500,"None","KOH","Visual","None","no","yes","no","no","","","no",NA,NA,NA,NA,2,1,1,1.4,NA,NA,NA,NA,0.5,0.5,0.7,"Rochman et al.2015"
"406","Rochman et al.","2015","Pacific, Western Central","Siganus canaliculatus","Siganidae ","Siganus","Reef-associated","Tropical","Least Concern","plants/detritus+animals","grazing on aquatic plants",2.8,500,"None","KOH","Visual","None","no","yes","no","no","","","no",NA,NA,NA,NA,3,0.99,0.9,1.8,NA,NA,NA,NA,0.33,0.3,0.6,"Rochman et al.2015"
"407","Rochman et al.","2015","Pacific, Western Central","Siganus fuscescens","Siganidae","Siganus","Reef-associated","Tropical","Least Concern","mainly plants/detritus","grazing on aquatic plants",2,500,"None","KOH","Visual","None","no","yes","no","no","","","no",NA,NA,NA,NA,2,0,0,0,NA,NA,NA,NA,0,0,0,"Rochman et al.2015"
"408","Rochman et al.","2015","Pacific, Western Central","Spratelloides gracilis","Clupeidae ","Spratelloides","Pelagic-neritic","Tropical","Least Concern","mainly animals","selective plankton feeding",3.1,500,"None","KOH","Visual","None","no","yes","no","no","","","no",NA,NA,NA,NA,10,4,11,17,NA,NA,NA,NA,0.4,1.1,1.7,"Rochman et al.2015"
"409","Rochman et al.","2015","Pacific, Eastern Central","Thunnus alalunga","Scombridae","Thunnus","Pelagic-oceanic","Subtropical","Near Threatened","mainly animals","hunting macrofauna",4.3,500,"None","KOH","Visual","None","no","yes","yes","no","","","no",NA,NA,NA,NA,2,0,0,0,NA,NA,NA,NA,0,0,0,"Rochman et al.2015"
"410","Romeo et al.","2015","Mediterranean and Black Sea","Thunnus alalunga","Scombridae","Thunnus","Pelagic-oceanic","Subtropical","Near Threatened","mainly animals","hunting macrofauna",4.3,500,"None","None","Visual","None","no","no","no","no","","","no",2449,NA,86800,NA,31,3.999,399.9,NA,79,NA,2800,NA,0.129,12.9,NA,"Romeo et al.2015"
"411","Romeo et al.","2015","Mediterranean and Black Sea","Thunnus thynnus","Scombridae","Thunnus","Pelagic-oceanic","Subtropical","Endangered","mainly animals","hunting macrofauna",4.5,500,"None","None","Visual","None","no","no","no","no","","","no",5317.6,NA,1995800,NA,34,11.016,15.98,NA,156.4,NA,58700,NA,0.324,0.47,NA,"Romeo et al.2015"
"412","Romeo et al.","2015","Atlantic, Southwest","Xiphias gladius","Xiphiidae","Xiphias","Pelagic-oceanic","Temperate","Least Concern","mainly animals","hunting macrofauna",4.5,500,"None","None","Visual","None","no","no","no","no","","","no",8142.4,NA,2307200,NA,56,7,8.96,NA,145.4,NA,41200,NA,0.125,0.16,NA,"Romeo et al.2015"
"413","Rummel et al.","2016","Atlantic, Northeast","Clupea harengus","Clupeidae","Clupea","Benthopelagic","Temperate","Least Concern","mainly animals","selective plankton feeding",3.4,500,"None","None","Visual","FTIR","yes","yes","no","no","Polyethylene","Clear","no",NA,719,2486,NA,33,0,NA,NA,NA,21.7878787878788,75.3333333333333,NA,0,NA,NA,"Rummel et al.2016"
"414","Rummel et al.","2016","Atlantic, Northeast","Gadus morhua","Gadidae","Gadus","Benthopelagic","Temperate","Vulnerable","mainly animals","hunting macrofauna",4.1,500,"None","None","Visual","FTIR","yes","yes","no","no","Polyethylene","Clear","no",NA,2938,33467,NA,81,1.036,NA,NA,NA,36.2716049382716,413.172839506173,NA,0.0127901234567901,NA,NA,"Rummel et al.2016"
"415","Rummel et al.","2016","Atlantic, Northeast","Limanda limanda","Pleuronectidae","Limanda","Demersal","Temperate","Least Concern","mainly animals","hunting macrofauna",3.4,500,"None","None","Visual","FTIR","yes","yes","no","no","Polyethylene","Clear","no",NA,2032,9462,NA,89,3.996,NA,NA,NA,22.8314606741573,106.314606741573,NA,0.0448988764044944,NA,NA,"Rummel et al.2016"
"416","Rummel et al.","2016","Atlantic, Northeast","Platichthys flesus","Pleuronectidae","Platichthys","Demersal","Temperate","Least Concern","mainly animals","hunting macrofauna",3.3,500,"None","None","Visual","FTIR","yes","yes","no","no","Polyethylene","Clear","no",NA,1088,10076,NA,36,2,NA,NA,NA,30.2222222222222,279.888888888889,NA,0.0555555555555556,NA,NA,"Rummel et al.2016"
"417","Rummel et al.","2016","Atlantic, Northeast","Scomber scombrus","Scombridae","Scomber","Pelagic-neritic","Temperate","Least Concern","mainly animals","variable",3.6,500,"None","None","Visual","FTIR","yes","yes","no","no","Polyethylene","Clear","no",NA,1454,9721,NA,51,9.02,NA,NA,NA,28.5098039215686,190.607843137255,NA,0.176862745098039,NA,NA,"Rummel et al.2016"
"418","Savoca et al.","2019","Mediterranean and Black Sea","Pagellus bogaraveo","Sparidae","Pagellus","Benthopelagic","Temperate","Near Threatened","mainly animals","hunting macrofauna",4.2,500,"None","None","Visual","FTIR and Raman","yes","no","yes","","Polyamide","Blue","no",NA,393.6,1504.8,NA,24,3,NA,NA,NA,16.4,62.7,NA,0.125,NA,NA,"Savoca et al.2019"
"419","Savoca et al.","2019","Mediterranean and Black Sea","Pagellus erythrinus","Sparidae","Pagellus","Benthopelagic","Subtropical","Least Concern","mainly animals","hunting macrofauna",3.5,500,"None","None","Visual","FTIR and Raman","yes","no","yes","","Polyamide","Blue","no",NA,280.5,1281,NA,15,1.0005,NA,NA,NA,18.7,85.4,NA,0.0667,NA,NA,"Savoca et al.2019"
"420","Slootmaekers et al.","2018","Atlantic, Northeast","Gobio gobia","Cyprinidae","Gobio","Benthopelagic","Temperate","Least Concern","mainly animals","hunting macrofauna",3.1,20,"NaI","H2O2","Visual","FTIR","yes","yes","","yes","Polyethylene terephthalate","Green","no",NA,921.96,NA,47.58,78,7.02,7.8,NA,NA,11.82,NA,0.61,0.09,0.1,NA,"Slootmaekers et al.2018"
"421","Smith","2018","Atlantic, Northeast","Scyliorhinus canicula","Scyliorhinidae","Scyliorhinus","Demersal","Subtropical","Least Concern","mainly animals","hunting macrofauna",3.8,500,"None","None","Visual","None","no","no","no","no","","","no",NA,1280,NA,NA,20,1,1,4.2,NA,64,NA,NA,0.05,0.05,0.21,"Smith2018"
"422","Su et al.","2019","Pacific, Northwest","Boleophthalmus pectinirostris","Gobiidae","Boleophthalmus","Demersal","Tropical","Not Evaluated","plants/detritus","grazing on aquatic plants",2,20,"None","H2O2","Visual","FTIR","yes","yes","yes","yes","Polyester","","no",NA,37.8,68.4,8.1,9,5.04,47.7,21.6,NA,4.2,7.6,0.9,0.56,5.3,2.4,"Su et al.2019"
"423","Su et al.","2019","Pacific, Northwest","Coilia ectenes","Engraulidae","Coilia","Pelagic-neritic","Subtropical","Endangered","mainly animals","selective plankton feeding",3,20,"None","H2O2","Visual","FTIR","yes","yes","yes","yes","Polyester","","no",NA,652.5,1621.8,56.7,36,18,25.2,34.2,NA,18.125,45.05,1.575,0.5,0.7,0.95,"Su et al.2019"
"424","Su et al.","2019","Pacific, Northwest","Coilia mystus","Engraulidae","Coilia","Pelagic-neritic","Tropical","Endangered","","",3.2,20,"None","H2O2","Visual","FTIR","yes","yes","yes","yes","Polyester","","no",NA,174.6,147.6,6.3,9,1.98,2.7,6.3,NA,19.4,16.4,0.7,0.22,0.3,0.7,"Su et al.2019"
"425","Su et al.","2019","Pacific, Northwest","Collichthys lucidus","Sciaenidae","Collichthys","Demersal","Subtropical","Not Evaluated","mainly animals","hunting macrofauna",3.6,20,"None","H2O2","Visual","FTIR","yes","yes","yes","yes","Polyester","","no",NA,317.4,519.8,21.8,26,10.01,32.8,35.1,NA,12.2076923076923,19.9923076923077,0.838461538461538,0.385,1.26153846153846,1.35,"Su et al.2019"
"426","Su et al.","2019","Pacific, Northwest","Cynoglossus robustus","Cynoglossidae","Cynoglossus","Demersal","Temperate","Not Evaluated","mainly animals","hunting macrofauna",3.5,20,"None","H2O2","Visual","FTIR","yes","yes","yes","yes","Polyester","","no",NA,194.4,540,2.7,9,3.96,6.3,8.1,NA,21.6,60,0.3,0.44,0.7,0.9,"Su et al.2019"
"427","Su et al.","2019","Pacific, Northwest","Harpadon nehereus","Synodontidae","Harpadon","Benthopelagic","Tropical","Not Evaluated","mainly animals","hunting macrofauna",4.2,20,"None","H2O2","Visual","FTIR","yes","yes","yes","yes","Polyester","","no",NA,370.8,553.5,17.1,18,15.03,45,25.2,NA,20.6,30.75,0.95,0.835,2.5,1.4,"Su et al.2019"
"428","Su et al.","2019","Pacific, Northwest","Hemibarbus maculatus","Cyprinidae","Hemibarbus","Benthopelagic","Temperate","Not Evaluated","mainly animals","hunting macrofauna",3.5,20,"None","H2O2","Visual","FTIR","yes","yes","yes","yes","Polyester","","no",NA,192.6,738,18.9,9,3.96,8.1,10.8,NA,21.4,82,2.1,0.44,0.9,1.2,"Su et al.2019"
"429","Su et al.","2019","Pacific, Northwest","Pampus argenteus","Stromateidae","Pampus","Benthopelagic","Subtropical","Not Evaluated","mainly animals","hunting macrofauna",3.3,20,"None","H2O2","Visual","FTIR","yes","yes","yes","yes","Polyester","","no",NA,153.9,615.6,17.1,9,5.04,9.9,11.7,NA,17.1,68.4,1.9,0.56,1.1,1.3,"Su et al.2019"
"430","Su et al.","2019","Pacific, Northwest","Planiliza haematocheila","Mugilidae","Planiliza","Pelagic-neritic","Temperate","Not Evaluated","mainly animals","hunting macrofauna",2.5,20,"None","H2O2","Visual","FTIR","yes","yes","yes","yes","Polyester","","no",NA,432.6,3886.1,153,17,8.01,21.5,22.7,NA,25.4470588235294,228.594117647059,9,0.471176470588235,1.26470588235294,1.33529411764706,"Su et al.2019"
"431","Su et al.","2019","Pacific, Northwest","Scomber japonicus","Scombridae","Scomber","Pelagic-neritic","Subtropical","Least Concern","mainly animals","hunting macrofauna",3.4,20,"None","H2O2","Visual","FTIR","yes","yes","yes","yes","Polyester","","no",NA,266.4,2386.8,117,9,5.04,7.2,7.2,NA,29.6,265.2,13,0.56,0.8,0.8,"Su et al.2019"
"432","Su et al.","2019","Pacific, Northwest","Synechogobius ommaturus","Gobiidae","Synechogobius","Demersal","Subtropical","Not Evaluated","","",3.6,20,"None","H2O2","Visual","FTIR","yes","yes","yes","yes","Polyester","","no",NA,337,875.8,37.9,17,17,63.6,28.5,NA,19.8235294117647,51.5176470588235,2.22941176470588,1,3.74117647058823,1.67647058823529,"Su et al.2019"
"433","Su et al.","2019","Pacific, Northwest","Thamnaconus septentrionalis","Monacanthidae","Thamnaconus","Demersal","Temperate","Not Evaluated","","",3.4,20,"None","H2O2","Visual","FTIR","yes","yes","yes","yes","Polyester","","no",NA,117.9,230.4,5.4,9,2.97,6.3,9,NA,13.1,25.6,0.6,0.33,0.7,1,"Su et al.2019"
"434","Su et al.","2019","Pacific, Northwest","Tridentiger barbatus","Gobiidae","Tridentiger","Demersal","Temperate","Not Evaluated","","",3.4,20,"None","H2O2","Visual","FTIR","yes","yes","yes","yes","Polyester","","no",NA,78.4,78.4,7.2,8,8,36,16,NA,9.8,9.8,0.9,1,4.5,2,"Su et al.2019"
"435","Tanaka and Takada","2016","Pacific, Northwest","Engraulis japonicus","Engraulidae","Engraulis","Pelagic-neritic","Temperate","Not Evaluated","plants/detritus+animals","filtering plankton",3.1,20,"None","KOH","Visual","FTIR","yes","yes","no","yes","Polyethylene","White","no",NA,7200,NA,NA,64,49.28,147.2,160,NA,112.5,NA,NA,0.77,2.3,2.5,"Tanaka and Takada2016"
"436","Vendel et al.","2017","Atlantic, Southwest","Achirus lineatus","Achiridae","Achirus","Reef-associated","Tropical","Least Concern","mainly animals","hunting macrofauna",3.5,500,"None","None","Visual","None","no","no","yes","no","","","no",NA,539.6,66.8,NA,10,NA,2,NA,NA,53.96,6.68,NA,NA,0.2,NA,"Vendel et al.2017"
"437","Vendel et al.","2017","Atlantic, Southwest","Anchoa januaria","Engraulidae","Anchoa","Pelagic-neritic","Tropical","Not Evaluated","plants/detritus+animals","",2.9,500,"None","None","Visual","None","no","no","yes","no","","","no",NA,10817.4,237.8,NA,194,NA,28.49,NA,NA,55.759793814433,1.22577319587629,NA,NA,0.146855670103093,NA,"Vendel et al.2017"
"438","Vendel et al.","2017","Atlantic, Southwest","Anchoa marinii","Engraulidae","Anchoa","Pelagic-oceanic","Subtropical","Not Evaluated","mainly animals","selective plankton feeding",3.4,500,"None","None","Visual","None","no","no","yes","no","","","no",NA,937,8.48,NA,22,NA,0.95,NA,NA,42.5909090909091,0.385454545454545,NA,NA,0.0431818181818182,NA,"Vendel et al.2017"
"439","Vendel et al.","2017","Atlantic, Southwest","Anchovia clupeoides","Engraulidae","Anchovia","Benthopelagic","Tropical","Least Concern","mainly animals","selective plankton feeding",3.4,500,"None","None","Visual","None","no","no","yes","no","","","no",NA,946,62.4,NA,10,NA,1.04,NA,NA,94.6,6.24,NA,NA,0.104,NA,"Vendel et al.2017"
"440","Vendel et al.","2017","Atlantic, Southwest","Atherinella brasiliensis","Atherinopsidae ","Atherinella","Benthopelagic","Tropical","Least Concern","plants/detritus+animals","hunting macrofauna",3.2,500,"None","None","Visual","None","no","no","yes","no","","","no",NA,23958,950.5,NA,405,NA,16.45,NA,NA,59.1555555555556,2.34691358024691,NA,NA,0.0406172839506173,NA,"Vendel et al.2017"
"441","Vendel et al.","2017","Atlantic, Southwest","Caranx latus","Carangidae","Caranx","Reef-associated","Subtropical","Least Concern","mainly animals","hunting macrofauna",4.2,500,"None","None","Visual","None","no","no","yes","no","","","no",NA,2608.8,93,NA,57,NA,0,NA,NA,45.7684210526316,1.63157894736842,NA,NA,0,NA,"Vendel et al.2017"
"442","Vendel et al.","2017","Atlantic, Southwest","Citharichthys spilopterus","Paralichthyidae","Citharichthys","Demersal","Tropical","Least Concern","mainly animals","variable",3.6,500,"None","None","Visual","None","no","no","yes","no","","","no",NA,NA,NA,NA,12,NA,0,NA,NA,NA,NA,NA,NA,0,NA,"Vendel et al.2017"
"443","Vendel et al.","2017","Atlantic, Southwest","Ctenogobius boleosoma","Gobiidae","Ctenogobius","Reef-associated","Tropical","Least Concern","mainly animals","hunting macrofauna",3.3,500,"None","None","Visual","None","no","no","yes","no","","","no",NA,738.7,5.4,NA,27,NA,0.96,NA,NA,27.3592592592593,0.2,NA,NA,0.0355555555555556,NA,"Vendel et al.2017"
"444","Vendel et al.","2017","Atlantic, Southwest","Diapterus auratus","Gerreidae","Diapterus","Demersal","Tropical","Least Concern","plants/detritus+animals","variable",2.4,500,"None","None","Visual","None","no","no","yes","no","","","no",NA,1577.6,29,NA,29,NA,28.13,NA,NA,54.4,1,NA,NA,0.97,NA,"Vendel et al.2017"
