"","author","year","region","species","family","genus","environment","climate","red.list","feeding.type","feeding.habit","TL","min.size","float.meth","dig.meth","count.meth","polymer.meth","polymer.ID","blanks","maj.fib","maj.under.one.mm","maj.polymer","maj.col","exclude.fib","fork.lengthprod","total.lengthprod","Wprod","GWprod","N","IRprod","Mpsgutprod","SDMPsgutprod","fork.length","total.length","W","GW","IR","Mpsgut","SDMPsgut","study"
"50","Baalkhuyur et al.","2018","Indian Ocean, Western","Vinciguerria mabahiss","Phosichthyidae","Vinciguerria","Bathypelagic","Deep-water","Not Evaluated","","",3.1,200,"None","NaOH","Visual","FTIR","yes","yes","yes","no","Polypropylene/Polyethylene","Black","no",NA,NA,NA,17.2,10,0,0,NA,NA,NA,NA,1.72,0,0,NA,"Baalkhuyur et al.2018"
"51","Beer et al.","2018","Atlantic, Northeast","Clupea harengus","Clupeidae","Clupea","Benthopelagic","Temperate","Least Concern","mainly animals","selective plankton feeding",3.4,100,"None","KOH and NaClO","Visual","None","no","yes","yes","yes","","Black","no",NA,6075.68,15368.6,NA,299,62.9993,74.75,155.48,NA,20.32,51.4,NA,0.2107,0.25,0.52,"Beer et al.2018"
"52","Beer et al.","2018","Atlantic, Northeast","Sprattus sprattus","Clupeidae","Sprattus","Pelagic-neritic","Temperate","Not Evaluated","mainly animals","selective plankton feeding",3,100,"None","KOH and NaClO","Visual","None","no","yes","yes","yes","","Black","no",NA,296.25,290,NA,25,4.7075,5.25,11.75,NA,11.85,11.6,NA,0.1883,0.21,0.47,"Beer et al.2018"
"53","Bessa et al.","2017","Northeast Atlantic","Dicentrarchus labrax","Moronidae","Dicentrarchus","Demersal","Subtropical","Least Concern","mainly animals","hunting macrofauna",3.5,20,"None","KOH","Visual","FTIR","yes","yes","yes","","Polyester","Blue/Black","yes",570,NA,2380.4,NA,40,13.2,12,24.4,14.25,NA,59.51,NA,0.33,0.3,0.61,"Bessa et al.2017"
"54","Bessa et al.","2017","Northeast Atlantic","Diplodus vulgaris","Sparidae","Diplodus","Benthopelagic","Subtropical","Least Concern","mainly animals","hunting macrofauna",3.5,20,"None","KOH","Visual","FTIR","yes","yes","yes","","Polyester","Blue/Black","yes",499.6,NA,1526.8,NA,40,28.2,125.6,130,12.49,NA,38.17,NA,0.705,3.14,3.25,"Bessa et al.2017"
"55","Bessa et al.","2017","Northeast Atlantic","Platichthys flesus","Pleuronectidae","Platichthys","Demersal","Temperate","Least Concern","mainly animals","hunting macrofauna",3.3,20,"None","KOH","Visual","FTIR","yes","yes","yes","","Polyester","Blue/Black","no",481.6,NA,1273.6,NA,40,11.8,7.2,22,12.04,NA,31.84,NA,0.295,0.18,0.55,"Bessa et al.2017"
"56","Bessa et al.","2018","Northeast Atlantic","Dicentrarchus labrax","Moronidae","Dicentrarchus","Demersal","Subtropical","Least Concern","mainly animals","hunting macrofauna",3.5,20,"None","KOH","Visual","FTIR","yes","yes","yes","","Polyester","Blue","yes",481.6,NA,1980.4,NA,40,9.2,12,24.4,12.04,NA,49.51,NA,0.23,0.3,0.61,"Bessa et al.2018"
"57","Bessa et al.","2018","Northeast Atlantic","Diplodus vulgaris","Sparidae","Diplodus","Benthopelagic","Subtropical","Least Concern","mainly animals","hunting macrofauna",3.5,20,"None","KOH","Visual","FTIR","yes","yes","yes","","Polyester","Blue","yes",499.6,NA,1526.8,NA,40,29.2,125.6,130,12.49,NA,38.17,NA,0.73,3.14,3.25,"Bessa et al.2018"
"58","Bessa et al.","2018","Northeast Atlantic","Platichthys flesus","Pleuronectidae","Platichthys","Demersal","Temperate","Least Concern","mainly animals","hunting macrofauna",3.3,20,"None","KOH","Visual","FTIR","yes","yes","yes","","Polyester","Blue","no",481.6,NA,1273.6,NA,40,5.2,7.2,22,12.04,NA,31.84,NA,0.13,0.18,0.55,"Bessa et al.2018"
"59","Bour et al.","2018","Atlantic, Northeast","Enchelyopus cimbrius","Lotidae","Enchelyopus","Demersal","Temperate","Least Concern","mainly animals","hunting macrofauna",3.5,20,"NaCl","KOH","Visual","FTIR","yes","yes","no","yes","Ethylene-vinyl acetate","Blue/Clear","yes",NA,NA,NA,NA,17,1.003,NA,NA,NA,NA,NA,NA,0.059,NA,NA,"Bour et al.2018"
"60","Bour et al.","2018","Atlantic, Northeast","Hippoglossoides platessoides","Pleuronectidae","Hippoglossoides","Demersal","Temperate","Not Evaluated","mainly animals","hunting macrofauna",4.1,20,"NaCl","KOH","Visual","FTIR","yes","yes","yes","yes","Polyethylene","Blue/Clear","yes",NA,NA,NA,NA,20,11,NA,NA,NA,NA,NA,NA,0.55,NA,NA,"Bour et al.2018"
"61","Bour et al.","2018","Atlantic, Northeast","Trisopterus esmarki","Gadidae","Trisopterus","Benthopelagic","Temperate","Least Concern","mainly animals","selective plankton feeding",3.2,20,"NaCl","KOH","Visual","FTIR","yes","yes","yes","yes","Polyethylene","Blue/Clear","yes",NA,NA,NA,NA,20,5,NA,NA,NA,NA,NA,NA,0.25,NA,NA,"Bour et al.2018"
"62","Cannon et al.","2016","Pacific, Southwest","Aldrichetta forsteri ","Mugilidae","Aldrichetta","Demersal","Temperate","Least Concern","plants/detritus+animals","grazing on aquatic plants",2.5,330,"None","None","Visual","FTIR","yes","no","no","yes","Acrylic","Green-Brown","no",NA,644.3,7536.1,NA,17,0,0,0,NA,37.9,443.3,NA,0,0,0,"Cannon et al.2016"
"63","Cannon et al.","2016","Pacific, Southwest","Conger verreauxi","Congridae","Conger","Reef-associated","Temperate","Least Concern","","",4.2,330,"None","None","Visual","FTIR","yes","no","no","yes","Acrylic","Green-Brown","no",NA,NA,NA,NA,25,0,0,0,NA,NA,NA,NA,0,0,0,"Cannon et al.2016"
"64","Cannon et al.","2016","Indian Ocean, Antarctic","Dissostichus mawsoni ","Nototheniidae","Dissostichus","Pelagic-oceanic","Polar","Not Evaluated","mainly animals","hunting macrofauna",3.9,330,"None","None","Visual","FTIR","yes","no","no","yes","Acrylic","Green-Brown","no",NA,1452,314000,NA,10,1,2,36,NA,145.2,31400,NA,0.1,0.2,3.6,"Cannon et al.2016"
