author,study.habitat,from,year,region,location,species,life.stage,family,common.name,genus,environment,climate,red.list,feeding.type,feeding.habit,TL,fork.length,total.length,W,GW,N,Cature.meth,min.size,float.meth,dig.meth,count.meth,polymer.meth,polymer.ID,blanks,blank.conc,ingest.rate,Mpsgut,SDMPsgut,MPspergfish,SDMPspergfish,maj.fib,maj.under.one.mm,maj.polymer,maj.col,exclude.fib,notes
Avio et al.,Marine,Garth,2019,Mediterranean and Black Sea,"Northern, Central and Southern Adriatic Sea",Solea solea,Adult,Soleidae,Common sole ,Solea,Demersal,Subtropical,Data deficient,mainly animals,hunting macrofauna,3.2,,28.2,222.6,,10,Local Fishermen,20,NaCl,H2O2,Visual,FTIR,yes,yes,3,10,1,0,,,no,yes,Polyethylene,,no,
Avio et al.,Marine,Garth,2019,Mediterranean and Black Sea,"Northern, Central and Southern Adriatic Sea",Sardina pilchardus,Adult,Clupeidae,European pilchard,Sardina,Pelagic-neritic,Subtropical,Least Concern,plants/detritus+animals,selective plankton feeding,3.1,,12.9,14.9,,13,Local Fishermen,20,NaCl,H2O2,Visual,FTIR,yes,yes,3,30.7,1.3,0.5,,,no,yes,Polyethylene,,no,
Avio et al.,Marine,Garth,2019,Mediterranean and Black Sea,"Northern, Central and Southern Adriatic Sea",Scomber scombrus,Adult,Scombridae,Atlantic mackerel,Scomber,Pelagic-neritic,Temperate,Least Concern,mainly animals,variable,3.6,,23.2,117.6,,10,Local Fishermen,20,NaCl,H2O2,Visual,FTIR,yes,yes,3,70,1.3,0.5,,,no,yes,Polyethylene,,no,
Avio et al.,Marine,Garth,2019,Mediterranean and Black Sea,"Northern, Central and Southern Adriatic Sea",Trachurus trachurus,Adult,Carangidae,Atlantic horse mackerel,Trachurus,Pelagic-neritic,Subtropical,Vulnerable,mainly animals,hunting macrofauna,3.7,,19.7,58.4,,10,Local Fishermen,20,NaCl,H2O2,Visual,FTIR,yes,yes,3,10,1,0,,,no,yes,Polyethylene,,no,
Avio et al.,Marine,Garth,2019,Mediterranean and Black Sea,"Northern, Central and Southern Adriatic Sea",Merluccius merluccius,Adult,Merlucciidae,European hake,Merluccius,Demersal,Temperate,Least Concern,mainly animals,hunting macrofauna,4.4,,17.3,34,,10,Local Fishermen,20,NaCl,H2O2,Visual,FTIR,yes,yes,3,40,1.5,0.6,,,no,no,Polyethylene,,no,
Avio et al.,Marine,Garth,2019,Mediterranean and Black Sea,"Northern, Central and Southern Adriatic Sea",Mullus barbatus barbatus,Adult,Mullidae,Red mullet,Mullus,Demersal,Subtropical,Least Concern,mainly animals,hunting macrofauna,3.1,,13.4,27,,10,Local Fishermen,20,NaCl,H2O2,Visual,FTIR,yes,yes,3,20,2,0,,,no,yes,Polyethylene,,no,
Avio et al.,Marine,Garth,2019,Mediterranean and Black Sea,"Northern, Central and Southern Adriatic Sea",Chelidonichthys lucerna,Adult,Triglidae,Tub gurnard,Chelidonichthys,Demersal,Subtropical,Least Concern,mainly animals,hunting macrofauna,4,,20.3,75.4,,9,Local Fishermen,20,NaCl,H2O2,Visual,FTIR,yes,yes,3,44.4,1.3,0.5,,,no,yes,Polyethylene,,no,
Avio et al.,Marine,Garth,2019,Mediterranean and Black Sea,"Northern, Central and Southern Adriatic Sea",Solea solea,Adult,Soleidae,Common sole ,Solea,Demersal,Subtropical,,mainly animals,hunting macrofauna,3.2,,17.9,45,,10,Local Fishermen,20,NaCl,H2O2,Visual,FTIR,yes,yes,3,30,1,0,,,no,yes,Polyethylene,,no,
Avio et al.,Marine,Garth,2019,Mediterranean and Black Sea,"Northern, Central and Southern Adriatic Sea",Sardinella aurita,Adult,Clupeidae,Round sardinella,Sardinella,Reef-associated,Subtropical,Least Concern,plants/detritus+animals,selective plankton feeding,3.4,,25.2,119.2,,9,Local Fishermen,20,NaCl,H2O2,Visual,FTIR,yes,yes,3,33.3,1.3,0.6,,,no,yes,Polyethylene,,no,
Avio et al.,Marine,Garth,2019,Mediterranean and Black Sea,"Northern, Central and Southern Adriatic Sea",Trachurus trachurus,Adult,Carangidae,Atlantic horse mackerel,Trachurus,Pelagic-neritic,Subtropical,Vulnerable,mainly animals,hunting macrofauna,3.7,,24.4,121.3,,8,Local Fishermen,20,NaCl,H2O2,Visual,FTIR,yes,yes,3,12.5,1,0,,,no,yes,Polyethylene,,no,
Avio et al.,Marine,Garth,2019,Mediterranean and Black Sea,"Northern, Central and Southern Adriatic Sea",Diplodus vulgaris,Adult,Sparidae,Common two-banded seabream,Diplodus,Benthopelagic,Subtropical,Least Concern,mainly animals,hunting macrofauna,3.5,,15.3,71.1,,14,Local Fishermen,20,NaCl,H2O2,Visual,FTIR,yes,yes,3,28.6,1,0,,,no,no,Polyethylene,,no,
Avio et al.,Marine,Garth,2019,Mediterranean and Black Sea,"Northern, Central and Southern Adriatic Sea",Pagellus erythrinus,Adult,Sparidae,Common pandora,Pagellus,Benthopelagic,Subtropical,Least Concern,mainly animals,hunting macrofauna,3.5,,16.1,60.8,,6,Local Fishermen,20,NaCl,H2O2,Visual,FTIR,yes,yes,3,66.6,1.5,0.6,,,no,no,Polyethylene,,no,
Avio et al.,Marine,Garth,2019,Mediterranean and Black Sea,"Northern, Central and Southern Adriatic Sea",Spondyliosoma cantharus,Adult,Sparidae,Black seabream,Spondyliosoma,Benthopelagic,Subtropical,Least Concern,mainly animals,variable,3.3,,16.9,86.1,,9,Local Fishermen,20,NaCl,H2O2,Visual,FTIR,yes,yes,3,55.5,1,0,,,no,no,Polyethylene,,no,
Avio et al.,Marine,Garth,2019,Mediterranean and Black Sea,"Northern, Central and Southern Adriatic Sea",Mullus barbatus barbatus,Adult,Mullidae,Red mullet,Mullus,Demersal,Subtropical,Least Concern,mainly animals,hunting macrofauna,3.1,,14.6,28.3,,8,Local Fishermen,20,NaCl,H2O2,Visual,FTIR,yes,yes,3,37.5,1,0,,,no,yes,Polyethylene,,no,
Avio et al.,Marine,Garth,2019,Mediterranean and Black Sea,"Northern, Central and Southern Adriatic Sea",Trachinus draco,Adult,Trachinidae,Greater weever,Trachinus,Demersal,Temperate,Least Concern,mainly animals,hunting macrofauna,4.2,,23,77.3,,6,Local Fishermen,20,NaCl,H2O2,Visual,FTIR,yes,yes,3,0,0,0,,,no,yes,Polyethylene,,no,
Avio et al.,Marine,Garth,2019,Mediterranean and Black Sea,"Northern, Central and Southern Adriatic Sea",Lithognathus mormyrus,Adult,Sparidae,Sand steenbras,Lithognathus,Demersal,Subtropical,Least Concern,mainly animals,hunting macrofauna,3.4,,18.8,78.4,,7,Local Fishermen,20,NaCl,H2O2,Visual,FTIR,yes,yes,3,14.3,1,0,,,no,yes,Polyethylene,,no,
